Suburb,Population Density,Population,LGA,Area (km2),,,,,,,,,,,
Southbank,11962.28,22631,Melbourne (City),1.89,,,,,,,,,,,
Carlton,10597.48,16055,Melbourne (City),1.51,,,,,,,,,,,
Fitzroy,7355.63,10431,Yarra (City),1.42,,,,,,,,,,,
Melbourne,7269.02,16055,Melbourne (City),2.21,,,,,,,,,,,
South Yarra,7087.66,25028,Melbourne (City),3.53,,,,,,,,,,,
Balaclava,7062.83,5392,Port Phillip (City),0.76,,,,,,,,,,,
Prahran,6975.82,12203,Stonnington (City),1.75,,,,,,,,,,,
Windsor,6729.21,7273,Port Phillip (City),1.08,,,,,,,,,,,
Collingwood,6719.02,9179,Yarra (City),1.37,,,,,,,,,,,
St Kilda,6365.64,19490,Port Phillip (City),3.06,,,,,,,,,,,
North Melbourne,6325.15,14953,Melbourne (City),2.36,,,,,,,,,,,
Richmond,6252.54,28587,Yarra (City),4.57,,,,,,,,,,,
Elwood,5989.6,15153,Port Phillip (City),2.53,,,,,,,,,,,
St Kilda West,5977.32,2951,Port Phillip (City),0.49,,,,,,,,,,,
Travancore,5933.01,2116,Moonee Valley (City),0.36,,,,,,,,,,,
St Kilda East,5784.11,12571,Glen Eira (City),2.17,,,,,,,,,,,
Glen Huntly,5637.58,4905,Glen Eira (City),0.87,,,,,,,,,,,
Seddon,5586.7,5143,Maribyrnong (City),0.92,,,,,,,,,,,
Ripponlea,5510.49,1532,Port Phillip (City),0.28,,,,,,,,,,,
Kingsville,5442.76,3920,Maribyrnong (City),0.72,,,,,,,,,,,
Brunswick East,5097.03,13279,Moreland (City),2.61,,,,,,,,,,,
Kensington,5073.67,10745,Melbourne (City),2.12,,,,,,,,,,,
Fitzroy North,5007.71,12781,Moreland (City),2.55,,,,,,,,,,,
South Melbourne,4986.3,11548,Port Phillip (City),2.32,,,,,,,,,,,
Brunswick,4910.31,24896,Moreland (City),5.07,,,,,,,,,,,
Princes Hill,4909.93,2005,Yarra (City),0.41,,,,,,,,,,,
Middle Park,4885.61,4000,Port Phillip (City),0.82,,,,,,,,,,,
Carnegie,4716.03,17909,Glen Eira (City),3.80,,,,,,,,,,,
Abbotsford,4700.75,9088,Yarra (City),1.93,,,,,,,,,,,
Brunswick West,4357.96,14746,Moreland (City),3.38,,,,,,,,,,,
Armadale,4201.39,9368,Stonnington (City),2.23,,,,,,,,,,,
Hawthorn East,4110.51,14834,Boroondara (City),3.61,,,,,,,,,,,
Northcote,4087.37,25276,Darebin (City),6.18,,,,,,,,,,,
Essendon North,4080.6,3071,Moonee Valley (City),0.75,,,,,,,,,,,
Ormond,4064.22,8328,Glen Eira (City),2.05,,,,,,,,,,,
Hawthorn,4000.51,22322,Boroondara (City),5.58,,,,,,,,,,,
Elsternwick,3975.8,10887,Glen Eira (City),2.74,,,,,,,,,,,
McKinnon,3897.17,6878,Glen Eira (City),1.76,,,,,,,,,,,
Gardenvale,3884.17,1019,Glen Eira (City),0.26,,,,,,,,,,,
Ascot Vale,3845.15,15197,Moonee Valley (City),3.95,,,,,,,,,,,
Caulfield,3806.12,5748,Glen Eira (City),1.51,,,,,,,,,,,
Coburg,3785.05,26574,Moreland (City),7.02,,,,,,,,,,,
Murrumbeena,3771.28,9996,Glen Eira (City),2.65,,,,,,,,,,,
Hughesdale,3759.2,7563,Monash (City),2.01,,,,,,,,,,,
Clifton Hill,3646.35,6606,Yarra (City),1.81,,,,,,,,,,,
Caulfield North,3633.75,16903,Glen Eira (City),4.65,,,,,,,,,,,
Noble Park,3624.23,32257,Greater Dandenong (City),8.90,,,,,,,,,,,
Caulfield South,3621.75,12328,Glen Eira (City),3.40,,,,,,,,,,,
Thornbury,3617.38,19005,Darebin (City),5.25,,,,,,,,,,,
Docklands,3482.85,15495,Melbourne (City),4.45,,,,,,,,,,,
Malvern,3453.17,9929,Stonnington (City),2.88,,,,,,,,,,,
Bentleigh,3426.6,17921,Glen Eira (City),5.23,,,,,,,,,,,
Pascoe Vale,3423.21,18171,Moreland (City),5.31,,,,,,,,,,,
Carlton North,3367.18,6177,Melbourne (City),1.83,,,,,,,,,,,
Essendon,3344.05,21240,Moonee Valley (City),6.35,,,,,,,,,,,
Pascoe Vale South,3309.99,10534,Moreland (City),3.18,,,,,,,,,,,
Hampton East,3295.15,5069,Bayside (City),1.54,,,,,,,,,,,
Parkdale,3292.04,12308,Kingston (City),3.74,,,,,,,,,,,
Moonee Ponds,3272.1,16224,Moonee Valley (City),4.96,,,,,,,,,,,
Taylors Hill,3254.31,15419,Melton (City),4.74,,,,,,,,,,,
Kings Park,3242.88,8203,Brimbank (City),2.53,,,,,,,,,,,
Footscray,3236.63,17131,Maribyrnong (City),5.29,,,,,,,,,,,
Box Hill,3235.38,14353,Whitehorse (City),4.44,,,,,,,,,,,
Meadow Heights,3209.08,14890,Hume (City),4.64,,,,,,,,,,,
Roxburgh Park,3171.08,24129,Hume (City),7.61,,,,,,,,,,,
Seabrook,3162.96,4952,Hobsons Bay (City),1.57,,,,,,,,,,,
Oakleigh East,3131.2,6804,Monash (City),2.17,,,,,,,,,,,
Hampton,3120.72,13518,Bayside (City),4.33,,,,,,,,,,,
Niddrie,3083.29,5901,Moonee Valley (City),1.91,,,,,,,,,,,
Glen Iris,3069.86,26131,Boroondara (City),8.51,,,,,,,,,,,
Surrey Hills,3069.72,13655,Boroondara (City),4.45,,,,,,,,,,,
Bentleigh East,3057.98,30159,Glen Eira (City),9.86,,,,,,,,,,,
West Footscray,3056.59,11729,Maribyrnong (City),3.84,,,,,,,,,,,
Oak Park,3053.64,6714,Moreland (City),2.20,,,,,,,,,,,
Sydenham,3044.38,10578,Brimbank (City),3.47,,,,,,,,,,,
Burnside Heights,3043.61,6377,Melton (City),2.10,,,,,,,,,,,
Balwyn,3026.14,13495,Boroondara (City),4.46,,,,,,,,,,,
Toorak,3021.06,12817,Stonnington (City),4.24,,,,,,,,,,,
Blackburn South,3000.56,10939,Whitehorse (City),3.65,,,,,,,,,,,
Box Hill North,2993.19,12337,Whitehorse (City),4.12,,,,,,,,,,,
Cremorne,2967.65,2158,Yarra (City),0.73,,,,,,,,,,,
